lookback_window,feature_under_consideration,candidate_features,current_best_features,learning_rate,number_of_hidden_layers,number_of_hidden_neurons,MSE_1_day,MAE_1_day,MAPE_1_day,MBE_1_day,RMSE_1_day,R2_1_day,MSE_3_day,MAE_3_day,MAPE_3_day,MBE_3_day,RMSE_3_day,R2_3_day,MSE_5_day,MAE_5_day,MAPE_5_day,MBE_5_day,RMSE_5_day,R2_5_day
1,50_ema,"['Open', 'Volume', '50_ema', 'Close']","['Open', 'Volume', 'Close']",0.001,3,32,0.005118191242218018,0.06650757789611816,6.0890984535217285,-0.06650757789611816,0.07154153287410736,-1265.863037109375,0.004389334935694933,0.06061369180679321,5.547508716583252,-0.06061369180679321,0.06625205278396606,-894874.1875,0.00017138909606728703,0.009551167488098145,0.8750531673431396,0.009551167488098145,0.013091566041111946,-21156.73046875
1,100_ema,"['Open', 'Volume', '100_ema', 'Close']","['Open', 'Volume', 'Close']",0.001,3,32,2391.890625,48.906959533691406,4474.4130859375,-48.906959533691406,48.906959533691406,-592044672.0,2391.927734375,48.90734100341797,4475.98876953125,-48.90734100341797,48.9073371887207,-487653998592.0,2392.033447265625,48.908416748046875,4480.51611328125,-48.908416748046875,48.90842056274414,-295292993536.0
1,MACD_line,"['Open', 'Volume', 'MACD_line', 'Close']","['Open', 'Volume', 'Close']",0.001,3,32,0.001595197943970561,0.03993546962738037,3.653526782989502,-0.03993546962738037,0.03993992879986763,-393.84600830078125,0.0033943671733140945,0.05349856615066528,4.896041393280029,-0.05349856615066528,0.0582611970603466,-692025.25,0.003883427008986473,0.05541718006134033,5.076570510864258,-0.05541718006134033,0.062317147850990295,-479402.3125
1,Signal_line,"['Open', 'Volume', 'Signal_line', 'Close']","['Open', 'Volume', 'Close']",0.001,3,32,2391.890625,48.906959533691406,4474.4130859375,-48.906959533691406,48.906959533691406,-592044672.0,2391.927734375,48.90734100341797,4475.98876953125,-48.90734100341797,48.9073371887207,-487653998592.0,2610.349609375,51.091583251953125,4680.5166015625,51.091583251953125,51.09157943725586,-322243788800.0
1,ADX,"['Open', 'Volume', 'ADX', 'Close']","['Open', 'Volume', 'Close']",0.001,3,32,0.0007056616595946252,0.022835850715637207,2.091495990753174,0.013571500778198242,0.02656429260969162,-173.66651916503906,0.003546471241861582,0.049854934215545654,4.56290340423584,0.049854934215545654,0.059552256017923355,-723035.4375,0.00047840323532000184,0.020174145698547363,1.848096251487732,-0.00845026969909668,0.02187243103981018,-59057.171875
1,RSI,"['Open', 'Volume', 'RSI', 'Close']","['Open', 'Volume', 'Close']",0.001,3,32,0.019234756007790565,0.13867485523223877,12.687460899353027,-0.13867485523223877,0.13868942856788635,-4760.01806640625,0.01933893747627735,0.1390644907951355,12.727151870727539,-0.1390644907951355,0.1390645056962967,-3942722.75,0.01956220343708992,0.13986492156982422,12.813070297241211,-0.13986492156982422,0.1398649513721466,-2414924.0
1,stoch_k,"['Open', 'Volume', 'stoch_k', 'Close']","['Open', 'Volume', 'Close']",0.001,3,32,2610.498779296875,51.093040466308594,4674.41357421875,51.093040466308594,51.093040466308594,-646154944.0,2391.927734375,48.90734100341797,4475.98876953125,-48.90734100341797,48.9073371887207,-487653998592.0,2392.033447265625,48.908416748046875,4480.51611328125,-48.908416748046875,48.90842056274414,-295292993536.0
1,stoch_d,"['Open', 'Volume', 'stoch_d', 'Close']","['Open', 'Volume', 'Close']",0.001,3,32,0.005471732933074236,0.06731125712394714,6.163351058959961,0.03067454695701599,0.07397115975618362,-1353.372314453125,0.0009474743856117129,0.022420525550842285,2.05179762840271,-0.021090149879455566,0.03078107163310051,-193165.234375,0.001458251615986228,0.03726005554199219,3.4133427143096924,-0.008363008499145508,0.03818706050515175,-180018.0
1,ATR,"['Open', 'Volume', 'ATR', 'Close']","['Open', 'Volume', 'Close']",0.001,3,32,0.00478717964142561,0.05873587727546692,5.379796028137207,0.036568790674209595,0.06918944418430328,-1183.9305419921875,0.004874572157859802,0.06059318780899048,5.54567813873291,0.034684836864471436,0.06981813907623291,-993801.875,0.0016221035039052367,0.028784751892089844,2.636767625808716,-0.028169870376586914,0.040275346487760544,-200245.28125
1,Close,Close,['Close'],0.001,4,32,2391.890625,48.906959533691406,4474.4130859375,-48.906959533691406,48.906959533691406,-592044672.0,2610.4599609375,51.09265899658203,4675.98876953125,51.09265899658203,51.09265899658203,-532207239168.0,2392.033447265625,48.908416748046875,4480.51611328125,-48.908416748046875,48.90842056274414,-295292993536.0
1,Open,"['Open', 'Close']","['Close', 'Open']",0.001,4,32,2391.890625,48.906959533691406,4474.4130859375,-48.906959533691406,48.906959533691406,-592044672.0,2391.927734375,48.90734100341797,4475.98876953125,-48.90734100341797,48.9073371887207,-487653998592.0,2392.033447265625,48.908416748046875,4480.51611328125,-48.908416748046875,48.90842056274414,-295292993536.0
1,High,"['Open', 'High', 'Close']","['Open', 'Close']",0.001,4,32,2391.890625,48.906959533691406,4474.4130859375,-48.906959533691406,48.906959533691406,-592044672.0,2391.927734375,48.90734100341797,4475.98876953125,-48.90734100341797,48.9073371887207,-487653998592.0,2610.349609375,51.091583251953125,4680.5166015625,51.091583251953125,51.09157943725586,-322243788800.0
1,Low,"['Open', 'Low', 'Close']","['Open', 'Close']",0.001,4,32,2610.498779296875,51.093040466308594,4674.41357421875,51.093040466308594,51.093040466308594,-646154944.0,2391.927734375,48.90734100341797,4475.98876953125,-48.90734100341797,48.9073371887207,-487653998592.0,2610.349609375,51.091583251953125,4680.5166015625,51.091583251953125,51.09157943725586,-322243788800.0
1,Volume,"['Open', 'Volume', 'Close']","['Open', 'Close']",0.001,4,32,2391.890625,48.906959533691406,4474.4130859375,-48.906959533691406,48.906959533691406,-592044672.0,2610.4599609375,51.09265899658203,4675.98876953125,51.09265899658203,51.09265899658203,-532207239168.0,2610.349609375,51.091583251953125,4680.5166015625,51.091583251953125,51.09157943725586,-322243788800.0
1,50_sma,"['Open', '50_sma', 'Close']","['Open', 'Close']",0.001,4,32,2610.498779296875,51.093040466308594,4674.41357421875,51.093040466308594,51.093040466308594,-646154944.0,2610.4599609375,51.09265899658203,4675.98876953125,51.09265899658203,51.09265899658203,-532207239168.0,2392.033447265625,48.908416748046875,4480.51611328125,-48.908416748046875,48.90842056274414,-295292993536.0
