lookback_window,feature_under_consideration,candidate_features,current_best_features,learning_rate,number_of_hidden_layers,number_of_hidden_neurons,best_model_sw,best_model_hn,best_model_hl,best_model_mse,MSE_1_day,MAE_1_day,MAPE_1_day,MBE_1_day,RMSE_1_day,R2_1_day,MSE_3_day,MAE_3_day,MAPE_3_day,MBE_3_day,RMSE_3_day,R2_3_day,MSE_5_day,MAE_5_day,MAPE_5_day,MBE_5_day,RMSE_5_day,R2_5_day
1,Close,Close,Close,0.001,1,8,0.00012477944255806506,0.010992288589477539,1.0059998370707035,-0.010992288589477539,0.011170472018420696,-29.885610580444336,4.5547385525424033e-05,0.0067487359046936035,0.6176425144076347,0.0067487359046936035,0.006748880259692669,-9284.96875,3.055469278478995e-05,0.0055272579193115234,0.5063533782958984,0.0055272579193115234,0.005527629982680082,-3770.931640625,1,8,1,6.696050695609301e-05
1,Open,"['Open', 'Close']",['Close'],0.001,1,8,0.00021261362417135388,0.010633766651153564,0.9745433926582336,0.010633766651153564,0.01458127610385418,-51.62647247314453,0.0005500345141626894,0.018269836902618408,1.6721377149224281,-0.014705359935760498,0.023452814668416977,-112137.2265625,0.00581769272685051,0.059352755546569824,5.437687039375305,-0.047905564308166504,0.07627379894256592,-718184.5625,1,8,1,6.696050695609301e-05
1,High,"['High', 'Close']",['Close'],0.001,1,8,0.0008326555835083127,0.02874290943145752,2.630067989230156,-0.02874290943145752,0.02885577268898487,-205.1002655029297,0.00016215868527069688,0.012639999389648438,1.1568008922040462,0.012639999389648438,0.012734154239296913,-33059.0859375,0.0005923517164774239,0.02433323860168457,2.2291796281933784,-0.02433323860168457,0.02433827705681324,-73123.9453125,1,8,1,6.696050695609301e-05
1,Low,"['Low', 'Close']",['Close'],0.001,1,8,0.00021922524319961667,0.014519691467285156,1.3278936967253685,0.0028989315032958984,0.014806256629526615,-53.26298904418945,0.0036039110273122787,0.06003153324127197,5.494074523448944,-0.06003153324127197,0.06003258377313614,-734746.0,0.0002632474643178284,0.013007521629333496,1.1916965246200562,-0.013007521629333496,0.016224902123212814,-32496.509765625,1,8,1,6.696050695609301e-05
1,Volume,"['Volume', 'Close']",['Close'],0.001,1,8,0.004805896896868944,0.0563167929649353,5.159127339720726,-0.040426671504974365,0.06932457536458969,-1188.5634765625,0.014203297905623913,0.10044890642166138,9.193437546491623,-0.10044890642166138,0.11917758733034134,-2895694.75,0.005754976067692041,0.069366455078125,6.3544511795043945,0.03071272373199463,0.07586155831813812,-710442.3125,1,8,1,6.696050695609301e-05
1,50_sma,"['50_sma', 'Close']",['Close'],0.001,1,8,0.00013315447722561657,0.011365771293640137,1.0394994169473648,0.011365771293640137,0.011539258062839508,-31.958614349365234,0.0006180942291393876,0.024861454963684082,2.27531511336565,-0.024861454963684082,0.024861501529812813,-126012.890625,0.0013850361574441195,0.037216007709503174,3.40937077999115,-0.037216007709503174,0.037216074764728546,-170979.671875,1,8,1,6.696050695609301e-05
1,200_sma,"['200_sma', 'Close']",['Close'],0.001,1,8,0.0005908156745135784,0.024228155612945557,2.2162634879350662,0.024228155612945557,0.024306699633598328,-145.23965454101562,0.00011652542161755264,0.010794639587402344,0.9879231452941895,-0.010794639587402344,0.010794694535434246,-23755.607421875,0.00037250033346936107,0.019300222396850586,1.7680993303656578,0.019300222396850586,0.019300267100334167,-45983.6171875,1,8,1,6.696050695609301e-05
1,50_ema,"['50_ema', 'Close']",['Close'],0.001,1,8,4.390783215058036e-05,0.0063135623931884766,0.5779553204774857,-0.0063135623931884766,0.006626298651099205,-9.868138313293457,0.0024381091352552176,0.04937201738357544,4.518520087003708,-0.04937201738357544,0.049377214163541794,-497068.25,7.8882701927796e-05,0.008880376815795898,0.8135353215038776,-0.008880376815795898,0.008881593123078346,-9736.953125,1,8,1,6.696050695609301e-05
1,100_ema,"['100_ema', 'Close']",['Close'],0.001,1,8,0.0003221032675355673,0.01784604787826538,1.6323838382959366,0.01784604787826538,0.017947236075997353,-78.72752380371094,0.0006038995343260467,0.024573802947998047,2.248989976942539,-0.024573802947998047,0.024574367329478264,-123118.953125,0.0015858281403779984,0.03982186317443848,3.648095577955246,-0.03982186317443848,0.03982245922088623,-195767.140625,1,8,1,6.696050695609301e-05
1,MACD_line,"['MACD_line', 'Close']",['Close'],0.001,1,8,3.3965668990276754e-05,0.005543828010559082,0.5068928003311157,0.005543828010559082,0.005828007124364376,-7.407238006591797,1.887673352030106e-05,0.004343926906585693,0.39755571633577347,0.004343926906585693,0.004344736225903034,-3847.491943359375,0.00037803163286298513,0.019431710243225098,1.7801502719521523,0.019431710243225098,0.019443035125732422,-46666.4453125,1,8,1,6.696050695609301e-05
